occurrence_date,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-01-01T01:00:00,FELONY ASSAULT,BROOKLYN,83,40.706661384,-73.921596532,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567177,533b1f65,1005988,196739
2010-01-01T01:00:00,GRAND LARCENY,BROOKLYN,94,40.7172055390001,-73.955215776,H,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567178,2af9952c,996665,200574
2010-01-01T01:00:00,GRAND LARCENY,MANHATTAN,6,40.728615975,-74.0000591749999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567179,6a143807,984234,204728
2010-01-01T01:00:00,GRAND LARCENY,MANHATTAN,18,40.759913549,-73.986291821,F,N.Y. POLICE DEPT,2010-02-12:00:00 AMow,567180,ad636b49,988048,216131
2010-01-01T01:00:00,ROBBERY,MANHATTAN,24,40.8025328780001,-73.967847357,K,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567181,16a39029,993152,231660
2010-01-01T01:00:00,GRAND LARCENY,MANHATTAN,34,40.8609283160001,-73.920308429,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567182,354edb8d,1006294,252944
2010-01-01T01:10:00,FELONY ASSAULT,BROOKLYN,73,40.6670361480001,-73.908168844,I,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567183,660ffac4,1009726,182306
2010-01-01T01:10:00,GRAND LARCENY,QUEENS,114,40.7669031130001,-73.921392044,F,N.Y. TRANSIT POLICE,2010-01-12:00:00 AMow,567184,881f35e2,1006025,218687
2010-01-01T01:15:00,GRAND LARCENY,MANHATTAN,10,40.7515538120001,-74.003589037,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567185,db8cea80,983256,213085
2010-01-01T01:15:00,GRAND LARCENY,MANHATTAN,19,40.7768849550001,-73.9493733799999,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567186,6ad4e561,998272,222318
2010-01-01T01:20:00,ROBBERY,BROOKLYN,73,40.667789106,-73.905871605,I,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567187,fea48415,1010363,182581
2010-01-01T01:20:00,GRAND LARCENY,QUEENS,112,40.718658885,-73.83770523,A,N.Y. TRANSIT POLICE,2010-01-12:00:00 AMow,567188,9c3a2dd,1029239,201142
2010-01-01T01:20:00,GRAND LARCENY,MANHATTAN,18,40.756324836,-73.9777633049999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567189,c80c6f89,990411,214824
2010-01-01T01:25:00,FELONY ASSAULT,BROOKLYN,77,40.67514937,-73.9226357969999,K,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567190,ebb6a0f6,1005710,185258
2010-01-01T01:30:00,FELONY ASSAULT,QUEENS,113,40.697849584,-73.773595394,I,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567191,4d77a20c,1047030,193600
2010-01-01T01:30:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,104,40.7030392560001,-73.908061545,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567192,3a0be78b,1009742,195423
2010-01-01T01:30:00,GRAND LARCENY,MANHATTAN,6,40.739161316,-74.0011056719999,G,N.Y. POLICE DEPT,2011-01-12:00:00 AMow,567193,718fabdf,983944,208570
2010-01-01T01:30:00,GRAND LARCENY,MANHATTAN,10,40.7470742450001,-74.006681709,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567194,1904be2b,982399,211453
2010-01-01T01:30:00,GRAND LARCENY,MANHATTAN,18,40.7680019810001,-73.983791944,H,N.Y. POLICE DEPT,2011-01-12:00:00 AMow,567195,db5d4a11,988740,219078
2010-01-01T01:30:00,ROBBERY,MANHATTAN,23,40.7854203420001,-73.947709405,B,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567196,b2c2b14,998731,225428
2010-01-01T01:30:00,ROBBERY,MANHATTAN,32,40.814588674,-73.947950212,H,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567495,ba3e7216,998658,236055
2010-01-01T01:30:00,FELONY ASSAULT,BRONX,47,40.87923333,-73.851532098,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567496,2e08ae16,1025307,259638
2010-01-01T01:30:00,GRAND LARCENY,BRONX,50,40.882821505,-73.894772299,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567497,a1f6de4a,1013348,260928
2010-01-01T02:00:00,RAPE,STATEN ISLAND,122,40.5738496490001,-74.105496156,K,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567498,9bc88424,954943,148360
2010-01-01T02:00:00,BURGLARY,BROOKLYN,83,40.686874045,-73.9135176899999,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567499,8562fc78,1008235,189532
2010-01-01T02:00:00,FELONY ASSAULT,MANHATTAN,5,40.717557341,-73.9993124329999,F,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567500,bd82a3d8,984441,200699
2010-01-01T02:00:00,GRAND LARCENY,MANHATTAN,9,40.731667658,-73.9894150869999,D,N.Y. POLICE DEPT,2010-02-12:00:00 AMow,567501,ea669bae,987184,205840
2010-01-01T02:00:00,GRAND LARCENY,MANHATTAN,9,40.732010286,-73.9851934559999,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567502,6d49e12f,988354,205965
2010-01-01T02:00:00,GRAND LARCENY,MANHATTAN,13,40.73563375,-73.98860618,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567503,494fb59b,987408,207285
2010-01-01T02:00:00,FELONY ASSAULT,MANHATTAN,10,40.748754155,-73.995973702,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567504,577043f5,985366,212065
2010-01-01T02:00:00,FELONY ASSAULT,MANHATTAN,14,40.7541710290001,-73.982503147,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567505,5589ec67,989098,214039
2010-01-01T02:00:00,GRAND LARCENY,MANHATTAN,20,40.7780169750001,-73.980211324,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567506,6036527f,989731,222727
2010-01-01T02:10:00,FELONY ASSAULT,BROOKLYN,73,40.664239422,-73.908425011,K,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567507,e94f0f64,1009656,181287
2010-01-01T02:10:00,ROBBERY,BRONX,42,40.8370010240001,-73.903706009,B,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567508,18ff7884,1010896,244231
2010-01-01T02:10:00,FELONY ASSAULT,BRONX,42,40.8370010240001,-73.903706009,B,N.Y. HOUSING POLICE,2010-01-12:00:00 AMow,567509,13ead43,1010896,244231
2010-01-01T02:15:00,BURGLARY,QUEENS,115,40.7621138810001,-73.875155922,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567510,8609dcf8,1018835,216957
2010-01-01T02:15:00,FELONY ASSAULT,BRONX,49,40.853408341,-73.864848739,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567511,f33e70b0,1021639,250223
2010-01-01T02:20:00,GRAND LARCENY,MANHATTAN,19,40.78044908,-73.952804551,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567512,80a4cd0d,997321,223616
2010-01-01T02:30:00,ROBBERY,STATEN ISLAND,120,40.644826245,-74.0907152249999,H,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567513,f0682af1,959076,174214
2010-01-01T02:30:00,RAPE,BROOKLYN,73,40.670655072,-73.91339092,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567514,d42f26d4,1008276,183623
2010-01-01T02:30:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,106,40.6879811220001,-73.812755575,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567813,f9f61c5c,1036179,189979
2010-01-01T02:30:00,GRAND LARCENY OF MOTOR VEHICLE,QUEENS,113,40.689120276,-73.790504137,M,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567814,95908edf,1042349,190408
2010-01-01T02:30:00,ROBBERY,QUEENS,113,40.702011429,-73.7657477819999,P,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567815,5718da74,1049202,195122
2010-01-01T02:30:00,GRAND LARCENY,QUEENS,105,40.708843707,-73.729672345,I,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567816,69469d41,1059197,197640
2010-01-01T02:30:00,GRAND LARCENY,MANHATTAN,9,40.7235881600001,-73.977669603,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567817,fd036d4,990440,202897
2010-01-01T02:34:00,FELONY ASSAULT,BRONX,43,40.8276975360001,-73.876102433,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567818,89bc36f7,1018539,240851
2010-01-01T02:40:00,FELONY ASSAULT,BROOKLYN,75,40.67287529,-73.884865368,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567819,caa61682,1016188,184441
2010-01-01T02:40:00,FELONY ASSAULT,BROOKLYN,75,40.67287529,-73.884865368,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567820,7886ca92,1016188,184441
2010-01-01T02:40:00,ROBBERY,BRONX,40,40.808014197,-73.914332004,C,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567821,c2c35694,1007966,233667
2010-01-01T02:50:00,MURDER & NON-NEGL. MANSLAUGHTE,BROOKLYN,75,40.67287529,-73.884865368,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,1696,ad78fd99,1016188,184441
2010-01-01T02:50:00,FELONY ASSAULT,MANHATTAN,9,40.730262376,-73.989779727,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567822,56c92069,987083,205328
2010-01-01T02:57:00,FELONY ASSAULT,BROOKLYN,77,40.6699749860001,-73.935186608,I,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567823,d6d68946,1002230,183370
2010-01-01T03:00:00,GRAND LARCENY,STATEN ISLAND,123,40.5076131100001,-74.2524822399999,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567824,1e5a7de1,914040,124312
2010-01-01T03:00:00,BURGLARY,BROOKLYN,68,40.621176937,-74.0264919749999,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567825,e3eb185f,976896,165586
2010-01-01T03:00:00,BURGLARY,BROOKLYN,70,40.6412127190001,-73.959940225,H,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567826,7ac5b2be,995368,172887
2010-01-01T03:00:00,FELONY ASSAULT,BROOKLYN,67,40.6619404040001,-73.9210291369999,N,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567827,4d73c529,1006160,180446
2010-01-01T03:00:00,RAPE,BROOKLYN,73,40.670655072,-73.91339092,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567828,11dfcbd5,1008276,183623
2010-01-01T03:00:00,FELONY ASSAULT,QUEENS,102,40.6857445700001,-73.861557632,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567829,33ef3cbe,1022646,189139
2010-01-01T03:00:00,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,79,40.6984833810001,-73.9483762469999,F,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567830,729c5855,998565,193754
2010-01-01T03:00:00,GRAND LARCENY,MANHATTAN,1,40.7074730150001,-74.0040411259999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,567831,5d9641e9,983130,197025
2010-01-01T03:00:00,ROBBERY,MANHATTAN,7,40.7185640660001,-73.988201454,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568132,e65246cc,987521,201066
2010-01-01T03:00:00,GRAND LARCENY,MANHATTAN,13,40.744793357,-73.993292546,I,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568133,bd86f19a,986109,210622
2010-01-01T03:00:00,FELONY ASSAULT,MANHATTAN,14,40.7522636300001,-73.983882395,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568134,a2b9d656,988716,213344
2010-01-01T03:00:00,ROBBERY,MANHATTAN,18,40.763132867,-73.9842046529999,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568135,d9070c0e,988626,217304
2010-01-01T03:00:00,GRAND LARCENY,MANHATTAN,19,40.7710773330001,-73.956710319,H,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568136,2655a6ab,996241,220201
2010-01-01T03:00:00,FELONY ASSAULT,BRONX,40,40.813951919,-73.915530979,C,N.Y. POLICE DEPT,2011-01-12:00:00 AMow,568137,120416e9,1007632,235830
2010-01-01T03:00:00,FELONY ASSAULT,MANHATTAN,30,40.8198232510001,-73.9554465959999,A,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568138,8fff73d4,996582,237961
2010-01-01T03:00:00,FELONY ASSAULT,MANHATTAN,32,40.825908155,-73.93742672,N,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568139,21af3000,1001568,240181
2010-01-01T03:00:00,BURGLARY,MANHATTAN,33,40.836194241,-73.9461155509999,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568140,cefa3906,999161,243927
2010-01-01T03:00:00,ROBBERY,BRONX,44,40.8407038710001,-73.922197522,M,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568141,f3f6ee12,1005778,245575
2010-01-01T03:00:00,FELONY ASSAULT,BRONX,45,40.8494439500001,-73.8326582879999,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568142,5c69d504,1030547,248794
2010-01-01T03:00:00,BURGLARY,BRONX,46,40.855589815,-73.902377735,G,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568143,57ce761d,1011256,251004
2010-01-01T03:15:00,FELONY ASSAULT,MANHATTAN,10,40.7515538120001,-74.003589037,D,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568144,9f90cc85,983256,213085
2010-01-01T03:20:00,FELONY ASSAULT,QUEENS,106,40.675611571,-73.815176907,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568145,83364f3c,1035517,185471
2010-01-01T03:20:00,FELONY ASSAULT,QUEENS,106,40.675611571,-73.815176907,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568146,3116932c,1035517,185471
2010-01-01T03:20:00,FELONY ASSAULT,QUEENS,106,40.675611571,-73.815176907,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568147,c76ba9c,1035517,185471
2010-01-01T03:20:00,FELONY ASSAULT,QUEENS,106,40.675611571,-73.815176907,J,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568148,4bd6c04c,1035517,185471
2010-01-01T03:25:00,GRAND LARCENY,MANHATTAN,6,40.7319315550001,-73.9955706009999,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568149,ef3c167c,985478,205936
2010-01-01T03:25:00,ROBBERY,QUEENS,110,40.7386075360001,-73.8774336549999,B,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568150,87f6f801,1018216,208392
2010-01-01T03:30:00,FELONY ASSAULT,BROOKLYN,71,40.6633706900001,-73.934555033,I,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568151,dfb43261,1002407,180964
2010-01-01T03:30:00,GRAND LARCENY OF MOTOR VEHICLE,BROOKLYN,83,40.6958705770001,-73.924010972,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568455,d613311e,1005322,192807
2010-01-01T03:30:00,FELONY ASSAULT,BRONX,49,40.8623053650001,-73.8684676079999,E,N.Y. POLICE DEPT,2010-01-12:00:00 AMow,568456,b98e6811,1020633,253463
