occurrence_datetime,offense,borough,precinct,latitude,longitude,sector,jurisdiction,compstat_date,object_id,identifier,xcoord,ycoord
2010-03-01 13:00,GRAND LARCENY,BRONX,46,40.84945,-73.91841,M,N.Y. POLICE DEPT,2010-03-01,482818,9f7150f1,1006823,248762
2010-03-01 13:00,GRAND LARCENY,BRONX,47,40.88979,-73.86275,E,N.Y. POLICE DEPT,2010-03-17,483121,c8f8cf44,1022198,263479
2010-03-01 13:10,BURGLARY,BROOKLYN,90,40.7029,-73.94422,F,N.Y. POLICE DEPT,2010-03-01,483122,e170ee11,999717,195365
2010-03-01 13:15,GRAND LARCENY,BRONX,43,40.82582,-73.84962,D,N.Y. POLICE DEPT,2010-03-01,483123,cad0d34b,1025870,240180
2010-03-01 13:20,GRAND LARCENY,QUEENS,108,40.74219,-73.92791,E,N.Y. POLICE DEPT,2010-04-04,483124,65cd082a,1004227,209680
2010-03-01 13:20,GRAND LARCENY,MANHATTAN,25,40.79635,-73.93516,A,N.Y. POLICE DEPT,2010-03-01,483125,2efc631a,1002203,229413
2010-03-01 13:25,FELONY ASSAULT,MANHATTAN,33,40.83275,-73.94077,A,N.Y. POLICE DEPT,2010-03-01,483126,c71f1611,1000641,242672
2010-03-01 13:26,BURGLARY,BRONX,49,40.85449,-73.85747,B,N.Y. POLICE DEPT,2010-03-01,483127,59c942aa,1023679,250620
2010-03-01 13:37,FELONY ASSAULT,BRONX,43,40.8223,-73.85617,D,N.Y. POLICE DEPT,2010-03-01,483128,fb4af32,1024058,238894
2010-03-01 13:45,BURGLARY,BROOKLYN,71,40.66322,-73.94945,E,N.Y. POLICE DEPT,2010-03-01,483129,2f37f98e,998276,180908
2010-03-01 13:50,GRAND LARCENY,MANHATTAN,24,40.79355,-73.97318,I,N.Y. POLICE DEPT,2010-03-09,483130,d0f5da14,991676,228386
2010-03-01 14:00,GRAND LARCENY,BROOKLYN,70,40.64795,-73.96061,I,N.Y. POLICE DEPT,2012-10-22,483131,a2fd073d,995182,175342
2010-03-01 14:00,GRAND LARCENY,BROOKLYN,71,40.65928,-73.93412,I,N.Y. POLICE DEPT,2010-03-04,483132,2c0dc549,1002530,179472
2010-03-01 14:00,GRAND LARCENY,QUEENS,113,40.67521,-73.79529,G,N.Y. POLICE DEPT,2010-03-01,483133,d88196ca,1041033,185337
2010-03-01 14:00,GRAND LARCENY,MANHATTAN,1,40.72344,-74.00618,I,N.Y. POLICE DEPT,2010-03-03,483134,da926898,982538,202843
2010-03-01 14:00,GRAND LARCENY,QUEENS,107,40.73005,-73.8151,E,N.Y. POLICE DEPT,2010-03-01,483135,94e97962,1035497,205305
2010-03-01 14:00,BURGLARY,MANHATTAN,13,40.73641,-73.97739,B,N.Y. POLICE DEPT,2010-03-06,483136,48dfee44,990516,207569
2010-03-01 14:00,BURGLARY,BRONX,45,40.84089,-73.84989,K,N.Y. POLICE DEPT,2010-03-01,483137,3bb64d35,1025786,245668
2010-03-01 14:02,FELONY ASSAULT,BROOKLYN,90,40.70625,-73.94303,H,N.Y. POLICE DEPT,2010-03-05,483138,6a254d53,1000046,196585
2010-03-01 14:06,BURGLARY,MANHATTAN,17,40.74922,-73.97664,B,N.Y. POLICE DEPT,2010-03-01,483139,3710c18d,990723,212236
2010-03-01 14:07,GRAND LARCENY,QUEENS,112,40.71445,-73.83126,A,N.Y. TRANSIT POLICE,2010-03-01,483140,dfb918b3,1031029,199612
2010-03-01 14:20,ROBBERY,QUEENS,101,40.59753,-73.75964,E,N.Y. POLICE DEPT,2010-03-01,483443,350f2e59,1051001,157060
2010-03-01 14:30,GRAND LARCENY,BROOKLYN,78,40.66918,-73.98631,A,N.Y. POLICE DEPT,2010-03-01,483444,6b36e9b1,988049,183074
2010-03-01 14:30,ROBBERY,BROOKLYN,77,40.67067,-73.95798,D,N.Y. TRANSIT POLICE,2010-03-01,483445,b98685d2,995908,183618
2010-03-01 14:30,GRAND LARCENY,BROOKLYN,77,40.67119,-73.94203,H,N.Y. POLICE DEPT,2010-03-02,483446,3cbc5ac3,1000331,183813
